ИНДЕКСЫ  ПОТРЕБИТЕЛЬСКИХ  ЦЕН  ПО РЕСПУБЛИКЕ  БЕЛАРУСЬ;;;;;
(предыдущий месяц = 100);;;;;
;;;;;
;2 0 2 4  г о д;;;;
;январь;февраль;март;апрель;май
ЧАСЫ НАРУЧНЫЕ;100,77;100,35;99,29;99,41;100,25
СИНТЕТИЧЕСКИЕ МОЮЩИЕ СРЕДСТВА;99,48;101,56;101,15;99,84;100,99
МЫЛО ХОЗЯЙСТВЕННОЕ;100,27;100,03;100,74;100,16;98,68
ТОВАРЫ БЫТОВОЙ ХИМИИ;100,78;100,67;99,84;99,42;100,52
крем для обуви;100,11;100,22;99,57;100,81;100,37
краска для пола и прочая;102,54;100,24;100,13;97,76;101,60
лакокрасочные материалы;103,28;100,20;100,14;97,17;102,48
моющие средства по уходу за автомобилями;99,68;101,04;100,50;99,41;101,31
средства для мытья посуды;100,97;101,73;99,73;99,96;100,45
средства для мытья унитаза, ванны;100,12;99,45;100,22;101,61;98,16
средства для мытья окон, плитки, удаления плесени;97,04;99,58;97,82;96,33;101,81
ТОВАРЫ ХОЗЯЙСТВЕННЫЕ ;99,73;99,96;100,53;99,88;100,35
товары хозяйственные из пластмассы и металла;99,67;99,91;100,61;99,95;100,42
карнизы;99,86;99,67;100,70;99,45;100,33
изделия замочно-скобяные ;99,81;100,32;100,19;99,95;100,12
ЮВЕЛИРНЫЕ ИЗДЕЛИЯ;102,17;100,77;101,44;99,42;100,73
ПРОЧИЕ КУЛЬТУРНО-БЫТОВЫЕ ТОВАРЫ;;;;;
инструменты музыкальные ;99,10;100,28;100,48;100,11;99,87
игрушки;100,46;100,42;99,02;100,96;100,19
аппарат телефонный ;99,88;99,39;99,77;99,47;100,18
компьютер персональный (включая ноутбук);100,46;99,74;99,74;99,96;99,30
компьютер планшетный;97,35;102,64;98,01;102,14;97,84
флэш-карта, карта памяти;98,94;101,20;100,63;100,76;101,98
коляска детская;99,35;99,34;100,79;99,18;100,48
зонт;100,60;100,17;100,57;99,85;99,79
смартфон;100,52;100,33;98,48;101,16;99,90
корма для домашних животных и птиц;100,06;100,92;100,03;100,52;99,68
ТОВАРЫ ДЛЯ СПОРТА И ТУРИЗМА;100,23;100,02;100,14;99,60;99,26
товары для физкультуры и спорта ;100,23;100,32;100,04;99,84;98,56
товары для туризма;100,24;99,58;100,29;99,25;100,28
ПИСЬМЕННЫЕ ТОВАРЫ, КАНЦЕЛЯРСКИЕ ПРИНАДЛЕЖНОСТИ;100,11;99,96;99,99;100,17;100,03
тетрадь;99,83;99,71;100,36;100,13;100,13
альбом для рисования, черчения;100,40;99,93;99,93;100,18;100,04
ручка шариковая;100,47;100,48;99,74;100,05;99,80
карандаши, фломастеры (маркеры);100,05;99,90;100,03;100,12;99,99
краски акварельные, гуашь;99,76;100,12;99,93;100,77;99,86
папка пластиковая (для документов, тетрадей, скоросшиватель);100,00;99,92;99,55;99,87;100,30
ТОВАРЫ ПАРФЮМЕРНО-КОСМЕТИЧЕСКИЕ (включая товары для личной гигиены);100,77;99,92;100,08;100,40;100,07
шампунь;100,59;100,87;98,76;100,42;99,18
зубная паста;100,88;101,27;102,00;99,69;101,29
мыло туалетное;97,77;102,11;99,32;100,53;100,81
крем для лица;102,02;99,43;97,96;101,33;100,17
дезодорант;102,39;100,88;99,13;102,32;100,69
бритвенный станок одноразовый;104,16;98,64;99,68;100,53;99,33
пена, гель для бритья;102,12;98,97;100,74;102,00;99,30
щетка зубная;99,92;100,50;101,49;101,40;100,70
туалетная вода;99,98;99,68;103,59;98,40;100,21
губная помада;103,25;98,67;99,34;99,73;100,92
пена для ванн, гель для душа;101,45;99,75;101,26;99,97;98,35
лак для ногтей;99,24;100,22;99,21;100,82;98,20
лак, бальзам для волос;99,92;99,63;99,29;99,85;99,16
краска для волос;99,63;96,55;96,82;101,84;101,13
тушь для ресниц, бровей;100,46;100,41;101,17;102,39;101,42
салфетки влажные;102,24;99,54;101,67;100,24;100,28
БУМАЖНО-БЕЛОВЫЕ ТОВАРЫ;100,04;100,82;100,89;99,16;100,18
бумага туалетная, салфетки бумажные;99,85;101,25;100,85;99,41;99,65
подгузники, гигиенические пакеты;100,15;100,56;100,92;99,01;100,50
ПРОЧИЕ ТОВАРЫ;;;;;
цветы живые срезанные;101,98;106,13;101,20;95,66;102,98
почвогрунт;100,47;100,82;100,31;100,51;99,84
дрова;100,00;100,00;100,00;99,98;100,00
торфобрикеты;100,00;100,00;100,00;100,00;100,00
машина швейная ;101,03;100,36;99,77;100,79;100,98
инструменты;100,07;100,22;101,08;100,45;99,76
лопата, грабли;100,56;101,33;99,71;99,73;99,99
спички;100,89;99,81;101,31;101,41;100,17
картридж для очистки воды;100,26;100,01;100,13;99,89;100,13
УСЛУГИ;100,37;102,29;100,34;100,16;100,21
ЖИЛИЩНО-КОММУНАЛЬНЫЕ;100,01;106,01;100,02;100,06;100,07
электроснабжение;100,00;103,17;100,00;100,00;100,00
газоснабжение;100,00;100,54;100,00;100,00;100,00
газ природный сетевой ;100,00;100,00;100,00;100,00;100,00
газ сжиженный ;100,00;105,90;100,00;100,00;100,00
водоснабжение (вкл. водоотведение);100,00;111,05;100,00;100,00;100,00
горячее водоснабжение ;100,00;100,00;100,00;100,00;100,00
холодное водоснабжение ;100,00;115,39;100,00;100,00;100,00
водоотведение (канализация);100,00;115,07;100,00;100,00;100,00
отопление;100,00;100,00;100,00;100,00;100,00
обращение с твердыми коммунальными отходами;100,00;117,14;100,00;100,37;100,88
пользование лифтом;100,00;117,21;100,00;100,00;100,00
техническое обслуживание запорно-переговорного устройства;100,33;110,39;99,91;100,31;100,36
прочие коммунальные услуги;100,66;103,86;101,97;103,00;101,02
техническое обслуживание жилых помещений;100,00;113,18;100,00;100,00;100,00
ГОСТИНИЦ ;100,68;100,97;101,90;102,77;99,98
ОБЩЕЖИТИЙ;107,84;100,20;99,99;99,99;100,12
БЫТОВЫЕ;101,19;100,88;100,22;99,71;100,49
индивидуальный пошив одежды;100,51;104,25;100,93;100,62;100,11
ремонт одежды;101,15;100,77;100,79;101,84;100,51
химическая чистка верхней одежды;101,54;101,34;100,81;100,21;100,23
ремонт обуви;100,41;101,08;100,93;103,51;100,14
ремонт мужской обуви;100,51;100,92;101,14;103,82;100,16
ремонт женской обуви;100,38;101,13;100,85;103,41;100,13
услуги парикмахерских;100,77;102,07;100,91;100,95;101,00
стрижка модельная в женском зале;100,98;101,72;100,79;100,94;101,48
стрижка модельная в мужском зале;100,89;102,31;100,92;100,80;100,66
маникюр;100,33;102,55;101,11;101,06;100,36
ритуальные услуги;101,77;99,44;97,80;94,71;100,19
услуги фотоателье;100,51;102,31;100,69;100,42;101,84
ремонт бытовых электроприборов;101,80;100,63;101,26;99,32;100,20
ремонт холодильников;102,87;100,43;101,71;97,74;100,06
ремонт стиральных машин;101,12;100,76;100,97;100,36;100,28
ремонт часов ;101,26;100,17;100,41;102,33;100,30
ремонт ювелирных изделий;101,09;100,28;100,81;100,75;102,18
техническое  обслуживание  транспортных  средств  (легковых автомобилей);100,70;100,69;101,09;101,97;100,28
технический осмотр транспортных средств (легковых автомобилей);103,70;100,25;100,29;100,35;100,15
плата за автостоянку;100,82;100,33;100,95;100,46;102,31
услуги бань и душевых, саун;100,74;100,45;100,89;100,27;100,06
ремонт жилых помещений;100,93;102,67;102,03;102,38;100,07
малярные работы;101,37;103,02;102,36;103,55;100,25
облицовка кафельной плиткой;100,28;105,20;103,07;102,80;99,76
установка межкомнатных дверей;101,13;101,27;101,38;101,78;100,18
ремонт телевизоров;100,14;100,73;101,25;100,51;100,05
СВЯЗИ;100,02;100,04;100,02;100,43;100,01
городская телефонная связь;100,00;100,00;100,00;104,42;100,00
абонементная плата за основной телефон для абонентов, переведенных на повременную систему;100,00;100,00;100,00;104,02;100,00
повременная плата за местные телефонные соединения;100,00;100,00;100,00;105,26;100,00
междугородные, международные телефонные соединения;100,00;100,00;100,00;105,51;100,00
почтовые;100,00;100,00;100,00;100,00;100,00
подключение к сети Интернет ;100,00;100,00;100,07;100,00;100,00
сотовая подвижная электросвязь;100,00;100,00;100,00;100,00;100,00
абонентская плата за пользование услугами сотовой подвижной электросвязи (вкл. пакеты безлимитных услуг);100,00;100,00;100,00;100,00;100,00
плата за беспроводной (мобильный) доступ в сеть Интернет, разговор по мобильному телефону, пересылку sms-сообщений ;100,00;100,00;100,00;100,00;100,00
цифровое телевидение;100,48;100,96;100,28;102,17;100,22
ДОШКОЛЬНЫХ УЧРЕЖДЕНИЙ;100,00;100,00;100,00;100,00;100,00
ПАССАЖИРСКОГО ТРАНСПОРТА;99,61;100,56;100,49;100,05;100,92
городского транспорта;100,00;100,00;100,00;100,00;100,00
железнодорожного;101,59;99,24;101,55;99,55;103,90
регионального сообщения эконом-класса;100,00;100,00;100,00;100,00;102,74
международного сообщения;102,80;98,67;102,72;99,23;104,41
межрегионального сообщения;100,00;100,00;100,00;100,00;103,45
автомобильного;100,53;100,71;100,83;100,82;100,17
пригородного сообщения;100,00;100,00;100,00;100,00;100,00
междугородного сообщения;100,33;100,08;102,48;103,62;100,13
по перевозке пассажира в автомобиле-такси ;100,55;100,68;100,62;100,92;100,17
по  перевозке пассажира  в  автобусе  регулярного  экспрессного  внутригородского  сообщения;100,84;101,28;101,54;100,63;100,25
воздушного;97,59;101,62;99,99;99,86;100,34
КУЛЬТУРЫ;102,46;101,93;102,56;100,55;100,68
кинотеатров;99,99;103,64;100,61;100,03;99,83
театров;102,67;104,66;107,94;100,13;99,88
концертных организаций;105,09;98,72;101,05;101,01;102,79
цирков;100,00;100,42;100,00;100,00;99,75
дискотек;100,00;103,37;100,71;101,37;100,00
музеев;104,37;100,90;102,28;100,95;100,99
САНАТОРНО-ОЗДОРОВИТЕЛЬНЫЕ;101,74;100,37;101,49;101,56;101,33
ТУРИСТИЧЕСКИЕ ;96,28;107,70;107,07;99,40;98,93
услуги внутреннего туризма;100,86;101,48;103,35;101,93;101,01
услуги международного туризма;95,88;108,28;107,40;99,19;98,75
ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА;100,75;100,26;101,22;100,95;100,56
МЕДИЦИНСКИЕ;101,34;100,55;100,13;100,84;100,37
ВЕТЕРИНАРНЫЕ ;100,60;101,38;100,42;102,03;100,33
БАНКОВ;100,00;100,00;100,00;100,00;100,00
ПРАВОВЫЕ;108,11;100,00;100,00;100,00;100,00
ОБРАЗОВАНИЯ;100,49;100,60;100,13;100,25;100,14
дополнительные занятия в учреждении дошкольного образования;100,40;101,19;100,07;100,00;100,00
услуги среднего специального образования;100,49;100,37;100,03;100,18;100,00
услуги высшего образования;100,42;100,00;100,00;100,00;100,00
обучение на курсах:;100,65;101,66;100,42;100,76;100,47
вождению автомобиля;102,14;101,72;100,98;102,51;100,91
владению иностранным языком;99,86;101,79;100,27;100,14;100,90
информационным технологиям;100,68;103,73;99,79;100,00;100,00
танцам, пению, актерскому мастерству, кройке и шитью, прочее;100,31;101,29;100,33;100,36;100,20
СДАЧА В НАЕМ (АРЕНДА) СОБСТВЕННОГО ИЛИ АРЕНДОВАННОГО ЖИЛЬЯ;;;;;
пользование арендным жильем;100,00;108,11;99,42;100,00;100,00
наем (аренда) однокомнатной квартиры (комнаты) у физических лиц;100,35;100,42;100,00;99,80;100,20
СТРАХОВАНИЯ;98,54;101,18;100,07;99,21;99,90
легкового автотранспорта;97,64;101,93;100,12;98,71;99,84
строений, принадлежащих гражданам;100,00;100,00;100,00;100,00;100,00
ГОСУДАРСТВЕННЫЕ ПОШЛИНЫ ЗА ОСУЩЕСТВЛЕНИЕ АДМИНИСТРАТИВНЫХ ПРОЦЕДУР  (выдача (обмен), удостоверение документов и прочее);108,11;100,00;100,00;100,00;100,00
СОЦИАЛЬНЫЕ УСЛУГИ В ФОРМЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НА ДОМУ;100,00;100,16;100,64;100,00;100,00
ПО ОХРАНЕ ЖИЛЫХ ДОМОВ (ПОМЕЩЕНИЙ);108,11;100,00;100,00;100,00;100,00
