ИНДЕКСЫ  ПОТРЕБИТЕЛЬСКИХ  ЦЕН  ПО РЕСПУБЛИКЕ  БЕЛАРУСЬ;;;;;
(предыдущий месяц = 100);;;;;
;;;;;
;2 0 2 4  г о д;;;;
;январь;февраль;март;апрель;май
ХЛЕБ И ИЗДЕЛИЯ ХЛЕБОБУЛОЧНЫЕ ;101,09;100,34;100,35;100,18;100,39
хлеб ржаной, ржано-пшеничный;100,71;100,28;100,02;100,37;100,66
хлеб, изделия булочные (батон) из муки пшеничной высшего сорта;101,19;100,46;100,40;100,22;100,38
хлеб, изделия булочные (батон) из муки пшеничной первого сорта, с отрубями и цельнозерновой;100,90;99,96;100,20;100,35;99,93
изделия булочные сдобные из  муки пшеничной высшего сорта;101,82;100,89;100,82;100,17;99,69
сухари, сушки, баранки;100,94;98,91;100,91;98,95;100,75
КРУПА И БОБОВЫЕ;100,69;100,13;100,55;99,60;100,06
рис шлифованный, полированный (включая пропаренный);102,09;100,70;100,47;101,32;101,39
крупа манная ;102,34;101,45;100,43;100,76;100,14
крупа пшенная;98,50;99,77;99,58;101,06;98,54
крупа гречневая ;100,00;99,83;99,37;96,55;97,97
хлопья овсяные;100,07;99,89;98,91;99,09;100,26
хлопья кукурузные ;100,52;100,18;101,27;99,83;99,66
крупа перловая ;99,11;100,20;100,63;100,39;100,13
каши для детского и диетического питания;101,43;99,47;100,98;99,81;101,21
горох, фасоль;100,37;102,70;100,47;102,97;101,37
мюсли, прочие сухие завтраки из различных круп;100,27;98,46;104,33;99,01;100,23
МАКАРОННЫЕ ИЗДЕЛИЯ;99,86;101,95;100,82;100,91;100,62
макароны, рожки;99,72;102,04;100,75;100,79;100,64
вермишель, лапша;101,18;101,10;101,42;102,02;100,47
КОНДИТЕРСКИЕ ИЗДЕЛИЯ;100,58;99,90;100,27;100,34;101,09
вафли;100,14;99,94;100,45;99,76;101,53
пряники;100,12;98,71;99,86;100,96;100,19
печенье ;100,86;99,39;98,89;100,77;100,73
торт;99,74;100,66;101,15;99,89;100,09
пирожные;99,95;100,45;101,29;99,98;100,62
ирис;99,99;100,84;99,09;100,00;100,86
карамель;100,29;100,81;99,04;99,87;100,96
конфеты глазированные шоколадной глазурью;101,64;99,19;100,53;99,69;102,36
"конфеты,  глазированные жировой глазурью  (типа ""Цитрон"", ""Детям"")";100,12;99,47;100,64;100,29;101,20
шоколад;101,56;100,38;100,60;101,41;101,35
халва;99,02;101,62;100,15;99,43;100,01
мармелад;100,65;100,77;100,38;100,13;101,08
зефир, пастила;99,59;99,54;100,75;99,97;102,24
другие кондитерские изделия;100,50;100,42;100,98;100,42;99,82
какао-порошок;99,97;100,64;101,72;101,18;105,43
какао-напиток растворимый;99,38;99,49;99,61;99,43;102,33
ПЛОДООВОЩНАЯ ПРОДУКЦИЯ;103,85;100,92;100,76;102,31;96,03
картофель;106,40;100,57;98,59;98,79;109,35
чипсы картофельные;101,30;99,36;100,95;100,55;100,68
овощи и грибы;106,43;100,96;101,33;104,39;87,15
капуста белокочанная свежая;112,14;105,29;98,89;104,45;110,70
лук репчатый;107,22;106,78;102,87;101,26;106,96
свекла ;111,89;100,34;104,78;106,59;137,24
морковь;113,01;107,45;104,22;106,51;135,14
помидоры свежие;106,41;96,30;107,77;105,74;74,95
огурцы свежие;99,65;101,35;86,44;104,70;43,07
чеснок;99,82;109,43;103,29;101,85;101,56
перец сладкий;113,12;98,80;120,46;108,65;86,60
грибы свежие;101,23;99,38;101,53;100,46;100,33
овощи замороженные;102,97;101,75;101,07;99,16;100,45
консервы овощные;101,21;100,57;99,52;99,90;100,42
овощи консервированные;101,43;100,48;99,34;99,77;100,47
консервы овощные, фруктово-овощные для детского и диетического питания;99,54;101,43;100,31;100,29;100,83
соус томатный;102,04;100,21;100,47;99,86;100,05
сок, нектар овощной, плодоовощной;99,62;101,09;100,08;100,87;99,92
фрукты и орехи ;102,53;101,21;100,85;101,58;100,64
яблоки;102,75;105,86;103,72;102,73;100,31
груши;105,93;94,68;102,78;99,36;107,18
плоды цитрусовые (апельсины, лимоны, мандарины, клементины);97,71;91,91;97,14;102,76;103,23
виноград;108,73;105,76;109,54;94,15;104,26
бананы;104,48;99,79;99,70;104,53;98,51
сухофрукты;103,70;101,50;100,65;100,17;99,87
орехи;101,46;100,76;99,99;99,71;100,65
консервы фруктово-ягодные;100,46;100,46;99,86;100,61;100,19
фрукты консервированные;100,20;98,30;97,57;100,63;99,68
консервы фруктовые, фруктово-ягодные для детского и диетического питания;99,97;100,58;100,78;100,73;100,15
сок, нектар фруктовый, ягодный;100,77;101,96;101,22;100,56;100,54
НАПИТКИ БЕЗАЛКОГОЛЬНЫЕ ;101,69;100,86;100,18;99,39;102,03
напитки безалкогольные ;102,14;100,63;99,68;99,09;103,27
вода минеральная и питьевая;101,18;101,74;100,84;99,48;100,92
квас;101,88;99,10;99,74;99,99;101,74
ПРОЧИЕ ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ;;;;;
майонез;100,65;99,56;99,44;101,13;98,59
уксус;100,07;99,97;100,07;100,39;100,14
горчица пищевая ;101,10;98,97;100,86;99,54;100,14
сода пищевая;100,89;100,87;98,36;102,01;100,24
кетчуп;99,84;99,96;101,07;99,55;99,78
жевательная резинка;99,05;100,49;101,19;99,58;100,07
ОБЩЕСТВЕННОЕ ПИТАНИЕ;101,36;100,61;100,98;101,18;100,93
обед в столовой;101,64;102,03;100,58;101,35;102,14
обед в ресторане, кафе;101,92;100,30;101,26;101,19;100,89
"продукция объекта общественного питания быстрого обслуживания (типа ""Гамбургер"", пицца и прочее)";100,33;100,29;100,93;101,25;99,89
кофе в объекте общественного питания быстрого обслуживания ;99,88;99,37;100,47;100,38;101,13
сок (нектар) в объекте общественного питания быстрого обслуживания ;100,44;100,19;100,39;100,45;100,68
НАПИТКИ АЛКОГОЛЬНЫЕ ;101,76;102,08;101,01;100,67;100,25
водка;102,22;102,32;100,69;100,55;100,17
настойки горькие крепкие;100,40;102,00;101,79;101,20;100,37
коньяк;100,81;100,42;101,35;100,73;100,23
вино виноградное крепленое;100,78;100,30;101,00;100,00;100,86
вино виноградное столовое;101,06;100,40;100,44;99,61;99,63
пиво;101,49;102,61;101,67;101,04;100,49
шампанское;101,74;100,89;100,34;101,32;100,62
ТАБАЧНЫЕ ИЗДЕЛИЯ;108,29;100,11;100,04;100,07;100,57
сигареты с фильтром отечественные;108,33;100,10;100,04;100,06;100,57
сигареты с фильтром импортные;103,05;101,31;100,04;101,93;101,29
НЕПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ;100,43;100,48;100,53;100,41;100,23
ТКАНИ И ПРЯЖА;100,29;99,80;100,38;99,97;100,41
хлопчатобумажные;100,13;99,96;100,12;100,02;100,54
шерстяные и полушерстяные;100,62;100,36;100,41;99,79;100,01
льняные;100,14;99,88;100,00;100,02;100,58
шелковые;100,32;100,00;99,61;100,41;100,24
пряжа шерстяная (полушерстяная), смесовая;100,41;99,18;101,35;99,74;100,41
ОДЕЖДА;100,28;100,09;101,06;100,20;99,97
мужская;100,33;99,89;101,40;100,78;100,43
куртка утепленная ;98,91;98,74;104,09;101,89;100,12
пальто (полупальто) демисезонное ;100,20;97,72;100,79;103,45;101,09
куртка (типа ветровки);99,85;100,17;98,62;99,87;99,91
костюм;100,44;100,03;100,99;99,67;100,76
джинсы;99,32;99,60;101,92;100,25;99,89
брюки;100,36;100,24;101,04;100,40;100,08
сорочка верхняя;102,24;99,52;100,59;100,33;100,27
костюм спортивный ;100,50;100,63;101,12;101,41;100,66
свитер, джемпер из шерстяной или полушерстяной пряжи;100,28;98,95;102,13;100,97;99,03
свитер, джемпер из синтетической или смесовой пряжи;101,29;99,56;102,28;100,77;99,65
майка;101,75;100,64;100,16;101,47;100,86
трусы;101,53;100,09;99,82;100,79;100,65
фуфайка, тенниска из хлопчатобумажного или смесового трикотажного полотна;100,81;101,07;99,83;99,65;101,41
